동이름,cortarNo
망포동,4111710500
매탄동,4111710100
신동,4111710600
영통동,4111710500
원천동,4111710200
이의동,4111710300
하동,4111710400
화도읍,4136025600
동천동,4146510300
상현동,4146510700
성복동,4146510600
신봉동,4146510500
죽전동,4146510200
풍덕천동,4146510100
